paper_id,avg_period,pollutant,pollutant_raw,setting,unit,summary_type,value,variability_type,variability_value,unit_norm,summary_type_norm,value_ugm3,who_band
Yang_2021_1085,Daily average,O3,O3,Outdoor,μg/m³,Mean,69.08,SD,19.09,μg/m³,mean,69.08,No WHO 24-hr guideline available
Hautekiet_2021_6332,Daily average,NO2,"NO₂ (recent, week)",Outdoor,μg/m³,Mean,24.1,IQR,NA,μg/m³,mean,24.1,Low (≤25 — meets AQG)
Yue Guo_2021_9063,Daily average,PM0.5,PM0.5,Not specified,μg/m³,Mean,53.2,SD,25.5,μg/m³,mean,53.2,No WHO 24-hr guideline available
Chen_2021_6329,Daily average,PM10,PM10(CRD group),Not specified,μg/m³,Mean,52.9,SD,NA,μg/m³,mean,52.9,Moderate (50.1–150 — meets IT-3/IT-2/IT-1)
La Marca_2020_a214,Daily average,NO2,NO2,Outdoor,μg/m³,Mean,22.6,SD,5.8,μg/m³,mean,22.6,Low (≤25 — meets AQG)
Carandina_2024_9783,Daily average,VOCs,VOCs,Indoor,μg/m³,Mean,795,SD,395,μg/m³,mean,795,No WHO 24-hr guideline available
Zhou_2019_.039,Daily average,SO2,SO2 (entire pregnancy),Outdoor,μg/m³,Mean,50.11,SD,7.27,μg/m³,mean,50.11,Moderate (40.1–125 — meets IT-1)
Zhang_2019_8687,Daily average,SO2,SO2 (before games),Outdoor,μg/m³,Mean,31.5,SD,18.1,μg/m³,mean,31.5,Low (≤40 — meets AQG)
Zhao_2024_3435,Daily average,PM10,PM10,Outdoor,μg/m³,Mean,64.8,SD,7.94,μg/m³,mean,64.8,Moderate (50.1–150 — meets IT-3/IT-2/IT-1)
Zhang_2024_1897,Daily average,Black Carbon,BC,Outdoor,μg/m³,Mean,0.52,SD,0.22,μg/m³,mean,0.52,No WHO 24-hr guideline available
Li_2024_2688,Daily average,O3,O3,Outdoor,μg/m³,Mean,92.6,SD,10.5,μg/m³,mean,92.6,No WHO 24-hr guideline available
Zu_2024_0104,Daily average,PM1,PM1 (Second trimester),Outdoor,μg/m³,Mean,33.29,SD,8.21,μg/m³,mean,33.29,No WHO 24-hr guideline available
Romero-Gutierrez_2024_7505,Daily average,Black Carbon,Black Carbon,Indoor,μg/m³,Mean,0.61,SD; IQR,NA,μg/m³,mean,0.61,No WHO 24-hr guideline available
Raqib_2023_8137,Daily average,Black Carbon,Black Carbon (post-intervention),Not specified,μg/m³,Mean,6.27,SD,4.53,μg/m³,mean,6.27,No WHO 24-hr guideline available
Levanon_2023_1037,Daily average,PM2.5,PM 2.5,Outdoor,μg/m³,Mean,19.9,SD,8.37,μg/m³,mean,19.9,Low (≤25 — meets AQG/IT-4)
Kogevinas_2023_1989,Daily average,NO2,NO₂,Outdoor,μg/m³,Mean,35.1,SD,8.9,μg/m³,mean,35.1,Moderate (25.1–120 — meets IT-1)
Wei_2023_4322,Daily average,PM2.5,PM2.5 3-yr,Outdoor,μg/m³,Mean,54.08,SD 16.92,NA,μg/m³,mean,54.08,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Wu_2021_5619,Daily average,Nitrate (NO3-),NO₃⁻,Outdoor,μg/m³,Mean,10.84,SD,8.47,μg/m³,mean,10.84,No WHO 24-hr guideline available
Huang_2021_4400,Daily average,Sulfate (SO4 2-),Sulfate,Outdoor,μg/m³,Mean,9.4,SD,4.8,μg/m³,mean,9.4,No WHO 24-hr guideline available
Zhang_2021_1637,Daily average,SO2,SO2,Outdoor,μg/m³,Mean,26.62,SD,27.47,μg/m³,mean,26.62,Low (≤40 — meets AQG)
